,file_path,pitch_id,pitch_type,pitch_result,action,hit_id,stroke,event_len
0,anonymized-files-wisd/12345633_10503.jsonl,73c057e2-0896-4d75-a46a-326e9edf69c0,Slider,Ball,Called,{},{},0
1,anonymized-files-wisd/12345633_10516.jsonl,06a5a39a-20f4-4866-82cc-f8a23f2798d2,Sinker,Strike,Foul,{},{},0
2,anonymized-files-wisd/12345633_10769.jsonl,2a1bba68-fc5c-485f-a497-c6e448f58720,Curveball,Ball,BallInDirt,{},{},0
3,anonymized-files-wisd/12345633_10885.jsonl,51d38e4d-d63c-4f58-80d8-b0886d275385,Changeup,Ball,Called,{},{},0
4,anonymized-files-wisd/12345633_11004.jsonl,06764473-60bb-4fc3-a185-eccc8753cb56,Slider,Strike,Foul,20b914b8-16d3-4ebb-a965-219e74a9bc37,{},1
5,anonymized-files-wisd/12345633_11032.jsonl,7d825422-229a-4036-8088-da5bf1f9a29b,Cutter,Ball,Called,{},{},0
6,anonymized-files-wisd/12345633_11061.jsonl,6f1c21e3-a9b0-42fe-9422-bf035bd551d6,FourSeamFastball,HitIntoPlay,{},a3361114-db28-4c40-87f4-4573d890810e,{},1
7,anonymized-files-wisd/12345633_1109.jsonl,bc0fec86-52af-4b1a-b52e-7ee74776f0c9,Changeup,Strike,Called,{},{},0
8,anonymized-files-wisd/12345633_11251.jsonl,5c0e2b3b-fe57-46f2-8388-e01843d770a9,Changeup,Ball,Called,{},{},0
9,anonymized-files-wisd/12345633_11349.jsonl,b4ebab6f-7812-4073-aff0-66e163b59e2d,Slider,Ball,Called,{},{},0
10,anonymized-files-wisd/12345633_11585.jsonl,b9e0fe7d-9d9b-4d59-a9db-34fc0fc62d12,FourSeamFastball,Strike,Called,{},{},0
11,anonymized-files-wisd/12345633_11791.jsonl,e95a94cf-170a-42c3-9ee1-6cde7b268a76,Cutter,Ball,Called,{},{},0
12,anonymized-files-wisd/12345633_11927.jsonl,b951e046-14b5-4bad-be65-f7c6141986a0,Sinker,Ball,HitByPitch,{},{},0
13,anonymized-files-wisd/12345633_12177.jsonl,5c159e2d-5caf-44fe-9592-00941997832d,Sinker,Ball,Called,{},{},0
14,anonymized-files-wisd/12345633_12543.jsonl,9c9522c2-c9b8-445c-8948-00c421f62043,Slider,Strike,Called,{},{},0
15,anonymized-files-wisd/12345633_12680.jsonl,58391d2f-5f5c-43d9-9d2e-218fd03c98e9,Sinker,HitIntoPlay,{},a240b208-29ef-42f4-94b8-409b53a338c4,{},1
16,anonymized-files-wisd/12345633_12825.jsonl,c61d4531-5cd3-4387-87d0-343394a5a820,Sinker,Strike,Called,{},{},0
17,anonymized-files-wisd/12345633_12850.jsonl,52ad7610-269e-4904-a136-7834b089b30d,Sinker,Strike,Foul,{},{},0
18,anonymized-files-wisd/12345633_12884.jsonl,af9a82f4-918d-44c5-a719-9e30cf465c87,Slider,Strike,Foul,6911dd87-9fd6-420e-93a9-6f65bb945de2,{},1
19,anonymized-files-wisd/12345633_12912.jsonl,0b25e310-c668-424d-9e1a-59cb520978fe,FourSeamFastball,Strike,Foul,{},{},0
20,anonymized-files-wisd/12345633_12953.jsonl,428859f8-3a52-40c8-97da-5f28d74329ee,Changeup,HitIntoPlay,{},1e8bd605-c70b-4260-a5a7-25f6dd616495,{},1
21,anonymized-files-wisd/12345633_13147.jsonl,2e640790-a7c6-4f45-9874-3c8a9ef4a29e,Slider,Strike,{},{},{},0
22,anonymized-files-wisd/12345633_13247.jsonl,0b4f2742-739f-4c67-bf96-dbaa5855c6bb,FourSeamFastball,Strike,Called,{},{},0
23,anonymized-files-wisd/12345633_13469.jsonl,a5a94bbc-7e32-4f3b-9afb-4308494b3540,Sinker,Strike,Foul,2ea8838b-7067-4e60-aaf1-7f5d02f883ea,{},1
24,anonymized-files-wisd/12345633_13519.jsonl,f2474196-c495-4299-b351-d3cd92137a3c,Slider,Strike,Blocked,{},{},0
25,anonymized-files-wisd/12345633_13578.jsonl,c6511b2b-4940-4137-a8fb-d8adf09d823b,Slider,Strike,{},{},{},0
26,anonymized-files-wisd/12345633_13642.jsonl,ff520be7-3f01-48bd-811e-87ccff900a1a,Changeup,Ball,Called,{},{},0
27,anonymized-files-wisd/12345633_13983.jsonl,c877bee5-4c3c-4818-92ca-b37751e6a51a,Changeup,Ball,Called,{},{},0
28,anonymized-files-wisd/12345633_14003.jsonl,3d422299-f25f-4ca6-a9f7-3856b0cb34e4,Sinker,Strike,{},{},{},0
29,anonymized-files-wisd/12345633_14051.jsonl,9b54f191-457a-4f03-ab03-238bf95a8948,Slider,Strike,Foul,d224129c-11bd-4ed7-8b4f-941809e74e12,{},1
30,anonymized-files-wisd/12345633_14137.jsonl,42240b59-1c42-4c40-b491-2de3bcecd850,Sinker,Ball,Called,{},{},0
31,anonymized-files-wisd/12345633_14228.jsonl,440d6691-a1aa-4907-ae5e-8547c7619961,Cutter,Ball,Called,{},{},0
32,anonymized-files-wisd/12345633_14386.jsonl,5f688700-63ca-4206-ba7e-ff9a415c326c,Cutter,Strike,Foul,f051eb3a-9563-476a-8539-560c1dbe20ce,{},1
33,anonymized-files-wisd/12345633_14454.jsonl,00e432a2-d2a4-4844-936f-482f9b45d543,Slider,Ball,Called,{},{},0
34,anonymized-files-wisd/12345633_14619.jsonl,eaf7832c-838e-4991-9f67-ad5028bbfe2d,Curveball,Ball,Called,{},{},0
35,anonymized-files-wisd/12345633_14904.jsonl,d598e2c1-2cbe-408e-bd2f-c57b6e291654,FourSeamFastball,Strike,Called,{},{},0
36,anonymized-files-wisd/12345633_14988.jsonl,c839d9a0-cb05-4f36-ae6a-121af6907d76,Curveball,Ball,Called,{},{},0
